Iteration,AvgQValue,AvgTarget,AvgLoss,Test Reward
0,-1.77988766629665,-4.08667580480277,303.490031592286,-200.0
10,28.3690029759448,29.6141290165125,39.1702736965668,-200.0
20,56.2992454734507,55.6767014884293,73.8553967793494,-200.0
30,132.642501734526,131.581347394984,251.660035176062,-200.0
40,208.387047750489,209.1300550397,19.4563055284232,-200.0
50,474.536428257417,476.283081143107,86.3786186225635,-200.0
60,891.310705001597,897.768366006648,249.64866095475,-200.0
70,1242.94930249328,1254.24787273772,473.79531923438,-200.0
80,1246.65142706609,1239.93765947926,12779.9860454249,-200.0
90,1404.76362335481,1407.94068098957,318.610290661488,-200.0
100,1525.45288805387,1516.47783265273,17913.6107714334,-200.0
110,1409.848511309,1415.14658891158,188.753017617166,-200.0
120,1239.50243477085,1237.67066066364,11838.2318263681,-200.0
130,1089.68118814227,1097.31665785987,158.066851109943,-200.0
140,978.298607012295,982.074028496462,95.0093340139372,-200.0
150,859.518444038256,862.630673662354,5909.34432539023,-200.0
160,899.882576000798,905.419381630172,90.0201933219854,-200.0
170,809.647881383627,804.262647593971,6204.49724764132,-200.0
180,691.379086347333,692.225310896914,3847.98505689276,-200.0
190,592.910738804717,592.249246620821,2467.87812107615,-200.0
200,511.752699267199,511.940151718354,2029.89899622318,-200.0
210,429.077604933314,426.238284359752,2916.11323727991,-200.0
220,351.415248396913,352.776582283219,1023.26368123553,-200.0
230,296.242054385968,296.939661188352,6.70033259455207,-200.0
240,243.933993918213,244.9630310536,16.1669010900656,-200.0
250,197.93219870973,198.865316252246,6.58175892627278,-200.0
260,167.403732279157,167.28313351911,254.78534816165,-200.0
270,130.631467111549,130.433628762341,2.56518294191928,-200.0
280,114.451413134789,114.60438596183,2.5041940141642,-200.0
290,85.7146949860386,86.756180742993,3.20556198824997,-200.0
300,56.2182648056162,55.8610149351794,73.5848024109789,-200.0
310,49.6588757429052,50.0052329394826,1.04057991999554,-200.0
320,30.1823294608139,29.9356465870058,9.33091862760566,-200.0
330,12.2202493939947,11.8311638950479,2.24033910676035,-200.0
340,-0.45696560720065,-0.37782339838629,13.7545864071804,-200.0
350,-3.81736117359717,-3.96020583311291,0.15634057336075,-200.0
360,-15.9662404575558,-15.8986467535859,0.7227593887206,-200.0
370,-17.3040857428405,-17.5927117795195,0.26612153367885,-200.0
380,-24.5251747952016,-24.4091088908369,3.38036106196942,-200.0
390,-27.3497159634951,-27.0999841339589,12.6079109944414,-200.0
400,-25.4364564434381,-25.613604013734,2.05961066216278,-200.0
410,-23.2374913073906,-23.0882782265571,6.62880233428245,-200.0
420,-19.1993276271187,-19.4504096961947,12.9445182941222,-200.0
430,-23.6316200079963,-23.5889203883242,5.92022591198747,-200.0
440,-30.7722444024421,-31.2055892187404,2.76377373864467,-200.0
450,-23.0624047764546,-23.2836589249076,0.98603850882797,-200.0
460,-17.0184081875324,-17.5612341694073,11.2150104335098,-200.0
470,-18.5023667329686,-18.7512521850933,41.6008778259478,-200.0
480,-5.49601941728494,-5.56579656800233,0.40017954583448,-200.0
490,-17.704343561817,-18.263205321019,16.3808841025192,-200.0
500,-23.272826248742,-23.0528016707328,3.11898710869355,-200.0
510,-32.4127720848344,-32.4313731576451,0.53143744063578,-200.0
520,-23.1700778069861,-23.0982909658201,29.2543240882347,-200.0
530,-15.5303915196547,-14.7589252513567,18.5837710472427,-200.0
540,-12.2088791497936,-12.3952009404384,2.07438947241029,-200.0
550,-20.3279126751174,-20.3473579745328,1.16750622339043,-15.0
560,-17.5195590492302,-18.4918540796999,26.0640331268639,-200.0
570,-14.1896692596715,-14.5200550930011,16.8963807815904,-200.0
580,-11.2613265508282,-10.8398127939076,1.67401659648559,-200.0
590,-15.9870735417247,-16.0307205967132,0.19046911942925,-200.0
600,-13.524362983835,-13.5439637896854,0.74966522886643,-200.0
610,-14.1627697883689,-14.2719349697511,0.21057982219927,-200.0
620,-20.3408810903525,-20.6525341840346,5.80325354293945,-200.0
630,-14.6147984883642,-14.7015937875653,0.28194380999102,-200.0
640,-14.6628341234126,-14.8343017135193,0.15252453708288,-13.0
650,-13.3472268076213,-13.2896588699268,0.40541437268464,-13.0
660,-14.2744302445332,-14.2866555272744,0.29638786073564,-200.0
670,-13.0910150682265,-13.1187861433187,0.04185323928788,-13.0
680,-14.3182656102268,-14.2929064647118,0.20274217706806,-13.0
690,-14.1288831865138,-14.13741763195,0.03401244996851,-13.0
700,-12.3927204882856,-12.4039295038928,0.01627086893204,-13.0
710,-12.198954089418,-12.1800618443102,0.0298996704452,-13.0
720,-11.4906755878754,-11.4987886040293,0.01417545868278,-13.0
730,-12.266019970852,-12.2712598574567,0.01452237968365,-13.0
740,-12.3675463427894,-12.3868790091468,0.01807591149097,-13.0
750,-14.717420771461,-14.5895267517976,0.19594858565046,-13.0
760,-12.564960754638,-12.5719995380602,0.02817281695484,-13.0
770,-12.3030332393275,-12.2169497606465,0.04228855042957,-13.0
780,-13.188591145652,-13.1714854307269,0.07796121289815,-13.0
790,-12.5897877551708,-12.6044079480351,0.00859210677857,-13.0
800,-12.3763242237862,-12.37245412692,0.01837533859563,-13.0
810,-9.84385092480911,-9.92794721243227,0.01531539228453,-13.0
820,-8.73262387504391,-9.15864041038899,0.40887082552477,-13.0
830,-9.099530008681,-9.11496387366838,0.00820096426877,-13.0
840,-8.65368040800801,-8.68344535140707,0.00631311446774,-13.0
850,-14.9752981835373,-14.9665235946551,0.00246731894666,-13.0
860,-11.2513665055097,-11.2424192652833,0.00392496006418,-13.0
870,-13.2032144675098,-13.1846544038876,0.00601923578891,-13.0
