Iteration,AvgQValue,AvgTarget,AvgLoss,Test Reward
0,-1.76700570485704,-1.75729938260656,0.00016504069266,-200.0
10,-17.9247326497849,-18.034601637142,0.0176402414118,-200.0
20,-29.6184278567843,-29.6930436394596,0.04090155090391,-200.0
30,-38.4151528606529,-38.3131486236189,0.02546184399449,-200.0
40,-42.1658386707257,-42.2506322641558,0.0354156148312,-200.0
50,-45.0870904830851,-45.2675863399088,0.04124231695344,-200.0
60,-48.6686731197755,-48.9048092957542,0.07243932215173,-200.0
70,-51.3341581868033,-51.2273242833755,0.05294432242164,-200.0
80,-51.451418872218,-51.676375677635,0.05826589227756,-200.0
90,-52.0140633475905,-52.1273452816751,21.1603031641536,-200.0
100,-54.7976103127172,-54.89623961978,19.5073434094851,-200.0
110,-55.5065263530017,-55.532841330039,0.07345156710931,-200.0
120,-53.3315767139305,-53.605361176494,0.1382459570896,-200.0
130,-53.3597518230903,-52.699436937596,39.2146036694871,-200.0
140,-53.4877076207668,-53.6672758518084,0.10149030457914,-200.0
150,-52.4270670781435,-52.3112060950635,18.3815488221882,-200.0
160,-53.6132674294306,-53.5645560166327,21.64908608486,-200.0
170,-54.6956560346821,-55.0049420278763,0.14740335572872,-200.0
180,-55.7425294854137,-54.8222734206043,45.6342068137666,-200.0
190,-54.2348073382142,-54.1447969661139,20.5651919373552,-200.0
200,-55.6030846124394,-54.9373998687432,50.1913647854809,-200.0
210,-51.9000266663832,-52.5064123032707,0.45900972397117,-200.0
220,-50.2285497412725,-50.2704731327769,0.2950766131098,-200.0
230,-48.2273299908706,-48.4642925081526,0.21430604085988,-200.0
240,-48.5629264867227,-48.2481918859582,0.21108593518538,-200.0
250,-48.2010324272753,-48.1973566794885,17.3992460322358,-200.0
260,-50.6952995040575,-50.8002932504546,0.12310154634643,-200.0
270,-52.1887979057097,-52.0597592306426,19.9996845804439,-200.0
280,-52.7096555343621,-53.0115051361725,0.17927478457768,-200.0
290,-50.802822933669,-51.2873938888276,0.28605320897665,-200.0
300,-51.6013868393178,-51.9167898406116,0.16393969286476,-200.0
310,-51.8439159924183,-51.7079276159787,20.2914294898036,-200.0
320,-52.2525552521379,-52.1002939741992,0.04260684152198,-200.0
330,-51.555984878718,-50.8624140847481,20.1328308042586,-200.0
340,-50.2871570238346,-50.1338398549359,19.7717638608267,-200.0
350,-52.991922846671,-52.8681057119169,0.02110502778811,-200.0
360,-52.1686256385972,-52.2229776300994,0.11058175224919,-200.0
370,-52.243103945382,-52.2914073917698,20.781959585542,-200.0
380,-51.9569868987868,-52.0693055233321,0.04666751205423,-200.0
390,-54.1187724815853,-54.089750215615,0.01312046450016,-200.0
400,-52.7868195672864,-51.4738442203853,62.5709045019541,-200.0
410,-51.9154883878674,-51.7870873315578,0.09722594121537,-200.0
420,-52.6703170087639,-52.9158421987528,0.09530879470718,-200.0
430,-53.4095225798292,-53.7879209839923,0.1545986890387,-200.0
440,-53.3250609252228,-53.2716399228207,0.14805354766809,-200.0
450,-53.8388558718858,-53.7949017080766,21.9039964051161,-200.0
460,-53.6812877169359,-53.7307444119071,21.4444845099971,-200.0
470,-53.8312688293516,-53.7835047019748,22.8731562344658,-200.0
480,-54.8554056010014,-54.3577961877513,21.4550154036739,-200.0
490,-53.6127742975898,-53.9780296218249,0.1497783382857,-200.0
500,-54.337319850748,-54.4918239595756,0.04909802959838,-200.0
510,-55.5805711389109,-55.7975515188811,0.0610423806821,-200.0
